"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","AG","HMC","5","10","9","w[1]","ess","22.78225328666947"
"GMM","AG","HMC","5","10","9","w[1]","r_hat","1.0108487002971442"
"GMM","AG","HMC","5","10","9","w[2]","ess","22.78225328666947"
"GMM","AG","HMC","5","10","9","w[2]","r_hat","1.0108487002971442"
"GMM","AG","HMC","5","10","9","z[1]","ess","23.882894200555857"
"GMM","AG","HMC","5","10","9","z[1]","r_hat","1.011883241200568"
"GMM","AG","HMC","5","10","9","z[2]","ess","23.700037314956305"
"GMM","AG","HMC","5","10","9","z[2]","r_hat","1.0115307299847482"
"GMM","AG","HMC","5","10","9","z[3]","ess","23.937517646090413"
"GMM","AG","HMC","5","10","9","z[3]","r_hat","1.0114433674848908"
"GMM","AG","HMC","5","10","9","z[4]","ess","24.011284576643657"
"GMM","AG","HMC","5","10","9","z[4]","r_hat","1.009848531655433"
"GMM","AG","HMC","5","10","9","z[5]","ess","27.193968138628538"
"GMM","AG","HMC","5","10","9","z[5]","r_hat","1.0038021701328572"
"GMM","AG","HMC","5","10","9","z[6]","ess","23.81165155236594"
"GMM","AG","HMC","5","10","9","z[6]","r_hat","1.0123311493642528"
"GMM","AG","HMC","5","10","9","z[7]","ess","23.918150953087018"
"GMM","AG","HMC","5","10","9","z[7]","r_hat","1.0113584550196162"
"GMM","AG","HMC","5","10","9","z[8]","ess","23.77642554561077"
"GMM","AG","HMC","5","10","9","z[8]","r_hat","1.0109272345172848"
"GMM","AG","HMC","5","10","9","z[9]","ess","23.978230592148577"
"GMM","AG","HMC","5","10","9","z[9]","r_hat","1.0109268048233795"
"GMM","AG","HMC","5","10","9","z[10]","ess","23.847939933201896"
"GMM","AG","HMC","5","10","9","z[10]","r_hat","1.01009236061538"
"GMM","AG","HMC","5","10","9","μ[1]","ess","25.916667110281733"
"GMM","AG","HMC","5","10","9","μ[1]","r_hat","1.033982641024362"
"GMM","AG","HMC","5","10","9","μ[2]","ess","26.390089336332537"
"GMM","AG","HMC","5","10","9","μ[2]","r_hat","1.0008297494565328"
"GMM","AG","HMC","5","10","4","w[1]","ess","24.043469227101895"
"GMM","AG","HMC","5","10","4","w[1]","r_hat","1.0165110925916847"
"GMM","AG","HMC","5","10","4","w[2]","ess","24.043469227101895"
"GMM","AG","HMC","5","10","4","w[2]","r_hat","1.0165110925916847"
"GMM","AG","HMC","5","10","4","z[1]","ess","26.277295749417746"
"GMM","AG","HMC","5","10","4","z[1]","r_hat","1.0119974972269397"
"GMM","AG","HMC","5","10","4","z[2]","ess","25.646754837063476"
"GMM","AG","HMC","5","10","4","z[2]","r_hat","1.0137030344196254"
"GMM","AG","HMC","5","10","4","z[3]","ess","25.852274884062652"
"GMM","AG","HMC","5","10","4","z[3]","r_hat","1.0137532559081333"
"GMM","AG","HMC","5","10","4","z[4]","ess","26.100841888882684"
"GMM","AG","HMC","5","10","4","z[4]","r_hat","1.0134227147762151"
"GMM","AG","HMC","5","10","4","z[5]","ess","27.5840192162067"
"GMM","AG","HMC","5","10","4","z[5]","r_hat","1.013986013840842"
"GMM","AG","HMC","5","10","4","z[6]","ess","25.982982735834604"
"GMM","AG","HMC","5","10","4","z[6]","r_hat","1.013413047548612"
"GMM","AG","HMC","5","10","4","z[7]","ess","25.714256635568223"
"GMM","AG","HMC","5","10","4","z[7]","r_hat","1.01422162163715"
"GMM","AG","HMC","5","10","4","z[8]","ess","25.793940426024314"
"GMM","AG","HMC","5","10","4","z[8]","r_hat","1.0131526513715177"
"GMM","AG","HMC","5","10","4","z[9]","ess","25.974192517965687"
"GMM","AG","HMC","5","10","4","z[9]","r_hat","1.0122788641899163"
"GMM","AG","HMC","5","10","4","z[10]","ess","25.73268753778044"
"GMM","AG","HMC","5","10","4","z[10]","r_hat","1.012362354897986"
"GMM","AG","HMC","5","10","4","μ[1]","ess","27.871727219132787"
"GMM","AG","HMC","5","10","4","μ[1]","r_hat","1.0458726811143568"
"GMM","AG","HMC","5","10","4","μ[2]","ess","57.57974237937112"
"GMM","AG","HMC","5","10","4","μ[2]","r_hat","1.0017430611323597"
"GMM","AG","HMC","5","10","7","w[1]","ess","27.554503638701224"
"GMM","AG","HMC","5","10","7","w[1]","r_hat","1.035569102231553"
"GMM","AG","HMC","5","10","7","w[2]","ess","27.55450363870125"
"GMM","AG","HMC","5","10","7","w[2]","r_hat","1.0355691022315527"
"GMM","AG","HMC","5","10","7","z[1]","ess","30.89406333969997"
"GMM","AG","HMC","5","10","7","z[1]","r_hat","1.0278084777792442"
"GMM","AG","HMC","5","10","7","z[2]","ess","28.277463198127553"
"GMM","AG","HMC","5","10","7","z[2]","r_hat","1.0359018498232775"
"GMM","AG","HMC","5","10","7","z[3]","ess","28.360578867673798"
"GMM","AG","HMC","5","10","7","z[3]","r_hat","1.0351514804992048"
"GMM","AG","HMC","5","10","7","z[4]","ess","30.108562787589925"
"GMM","AG","HMC","5","10","7","z[4]","r_hat","1.0292222429031948"
"GMM","AG","HMC","5","10","7","z[5]","ess","39.365962732066855"
"GMM","AG","HMC","5","10","7","z[5]","r_hat","1.0206493310778464"
"GMM","AG","HMC","5","10","7","z[6]","ess","28.561300207095023"
"GMM","AG","HMC","5","10","7","z[6]","r_hat","1.0340571969699417"
"GMM","AG","HMC","5","10","7","z[7]","ess","28.560770568126724"
"GMM","AG","HMC","5","10","7","z[7]","r_hat","1.0337447453962068"
"GMM","AG","HMC","5","10","7","z[8]","ess","28.735609778207078"
"GMM","AG","HMC","5","10","7","z[8]","r_hat","1.0345522498897717"
"GMM","AG","HMC","5","10","7","z[9]","ess","28.565248796364116"
"GMM","AG","HMC","5","10","7","z[9]","r_hat","1.0380083146403605"
"GMM","AG","HMC","5","10","7","z[10]","ess","28.913675365724703"
"GMM","AG","HMC","5","10","7","z[10]","r_hat","1.0306707081769395"
"GMM","AG","HMC","5","10","7","μ[1]","ess","47.71393617235337"
"GMM","AG","HMC","5","10","7","μ[1]","r_hat","1.0375302762953849"
"GMM","AG","HMC","5","10","7","μ[2]","ess","32.7968862246388"
"GMM","AG","HMC","5","10","7","μ[2]","r_hat","1.0084582946768144"
"GMM","AG","HMC","5","10","1","w[1]","ess","37.603535303525376"
"GMM","AG","HMC","5","10","1","w[1]","r_hat","1.0238046872480107"
"GMM","AG","HMC","5","10","1","w[2]","ess","37.60353530352537"
"GMM","AG","HMC","5","10","1","w[2]","r_hat","1.0238046872480107"
"GMM","AG","HMC","5","10","1","z[1]","ess","46.04244195451055"
"GMM","AG","HMC","5","10","1","z[1]","r_hat","1.0166548240375273"
"GMM","AG","HMC","5","10","1","z[2]","ess","43.50852998264209"
"GMM","AG","HMC","5","10","1","z[2]","r_hat","1.0199381753212393"
"GMM","AG","HMC","5","10","1","z[3]","ess","42.6113150813374"
"GMM","AG","HMC","5","10","1","z[3]","r_hat","1.0181808496882745"
"GMM","AG","HMC","5","10","1","z[4]","ess","43.795152231194464"
"GMM","AG","HMC","5","10","1","z[4]","r_hat","1.0165373130371405"
"GMM","AG","HMC","5","10","1","z[5]","ess","61.65817522586784"
"GMM","AG","HMC","5","10","1","z[5]","r_hat","1.0126704831236146"
"GMM","AG","HMC","5","10","1","z[6]","ess","43.380716477385135"
"GMM","AG","HMC","5","10","1","z[6]","r_hat","1.018340643027517"
"GMM","AG","HMC","5","10","1","z[7]","ess","42.445030567321545"
"GMM","AG","HMC","5","10","1","z[7]","r_hat","1.0207369617909285"
"GMM","AG","HMC","5","10","1","z[8]","ess","41.958104421711155"
"GMM","AG","HMC","5","10","1","z[8]","r_hat","1.0204378649732089"
"GMM","AG","HMC","5","10","1","z[9]","ess","42.44448561833788"
"GMM","AG","HMC","5","10","1","z[9]","r_hat","1.0173786455050868"
"GMM","AG","HMC","5","10","1","z[10]","ess","43.254748318356675"
"GMM","AG","HMC","5","10","1","z[10]","r_hat","1.021592336903373"
"GMM","AG","HMC","5","10","1","μ[1]","ess","36.90805974920216"
"GMM","AG","HMC","5","10","1","μ[1]","r_hat","1.0200194544607548"
"GMM","AG","HMC","5","10","1","μ[2]","ess","34.23224442542543"
"GMM","AG","HMC","5","10","1","μ[2]","r_hat","1.1112424817875182"
"GMM","AG","HMC","5","10","10","w[1]","ess","29.745766568695515"
"GMM","AG","HMC","5","10","10","w[1]","r_hat","1.0247700076735649"
"GMM","AG","HMC","5","10","10","w[2]","ess","29.745766568695515"
"GMM","AG","HMC","5","10","10","w[2]","r_hat","1.0247700076735649"
"GMM","AG","HMC","5","10","10","z[1]","ess","35.42011323330596"
"GMM","AG","HMC","5","10","10","z[1]","r_hat","1.0188937766155233"
"GMM","AG","HMC","5","10","10","z[2]","ess","31.940917814062896"
