"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","sampling_time"
"GMM","AG","HMC","5","10","9","45.768621326"
"GMM","AG","HMC","5","10","4","45.768627292"
"GMM","AG","HMC","5","10","7","45.76862806"
"GMM","AG","HMC","5","10","1","45.768621328"
"GMM","AG","HMC","5","10","10","2.380793312"
"GMM","AG","HMC","5","10","5","12.667117089"
"GMM","AG","HMC","5","10","2","12.757131165"
"GMM","AG","HMC","5","10","8","13.74394483"
"GMM","AG","HMC","5","10","6","7.075966747"
"GMM","AG","HMC","5","10","3","9.648458659"
"GMM","PG","HMC","5","10","4","42.88385486"
"GMM","PG","HMC","5","10","7","0.004277298"
"GMM","PG","HMC","5","10","1","0.015246345"
"GMM","PG","HMC","5","10","9","0.30577395"
"GMM","PG","HMC","5","10","5","26.263152357"
"GMM","PG","HMC","5","10","8","2.550320175"
"GMM","PG","HMC","5","10","10","7.224916412"
"GMM","PG","HMC","5","10","2","9.201637204"
"GMM","PG","HMC","5","10","6","10.43075906"
"GMM","PG","HMC","5","10","3","17.789118972"
"GMM","AG","HMC","10","10","1","19.039797549"
"GMM","AG","HMC","10","10","7","19.495242424"
"GMM","AG","HMC","10","10","4","19.575891902"
"GMM","AG","HMC","10","10","9","19.797636331"
"GMM","AG","HMC","10","10","8","13.779911034"
"GMM","AG","HMC","10","10","5","17.071087185"
"GMM","AG","HMC","10","10","2","18.141225287"
"GMM","AG","HMC","10","10","10","18.466368618"
"GMM","AG","HMC","10","10","6","7.722965364"
"GMM","AG","HMC","10","10","3","10.383552784"
"GMM","PG","HMC","10","10","7","49.10358084"
"GMM","PG","HMC","10","10","4","0.070796737"
"GMM","PG","HMC","10","10","9","0.110464979"
"GMM","PG","HMC","10","10","1","2.776727274"
"GMM","PG","HMC","10","10","8","38.268696187"
"GMM","PG","HMC","10","10","10","41.817383409"
"GMM","PG","HMC","10","10","5","42.255417716"
"GMM","PG","HMC","10","10","2","5.496048649"
"GMM","PG","HMC","10","10","6","19.603040627"
"GMM","PG","HMC","10","10","3","26.238146746"
"GMM","AG","HMC","15","10","1","19.119592201"
"GMM","AG","HMC","15","10","7","19.160311685"
"GMM","AG","HMC","15","10","9","19.292170266"
"GMM","AG","HMC","15","10","4","19.653495727"
"GMM","AG","HMC","15","10","8","13.278221303"
"GMM","AG","HMC","15","10","10","16.774791855"
"GMM","AG","HMC","15","10","2","17.976816943"
"GMM","AG","HMC","15","10","5","18.363762901"
"GMM","AG","HMC","15","10","3","10.35668002"
"GMM","AG","HMC","15","10","6","10.480314852"
"GMM","PG","HMC","15","10","4","63.278352801"
"GMM","PG","HMC","15","10","1","0.223380673"
"GMM","PG","HMC","15","10","9","0.958064193"
"GMM","PG","HMC","15","10","7","1.486513904"
"GMM","PG","HMC","15","10","5","57.79874977"
"GMM","PG","HMC","15","10","8","7.511585118"
"GMM","PG","HMC","15","10","10","8.051685291"
"GMM","PG","HMC","15","10","2","10.880101051"
"GMM","PG","HMC","15","10","6","27.224446037"
"GMM","PG","HMC","15","10","3","34.991744173"
"GMM","AG","HMC","5","25","7","66.33806632"
"GMM","AG","HMC","5","25","1","0.948872293"
"GMM","AG","HMC","5","25","9","0.96734456"
"GMM","AG","HMC","5","25","4","1.379558804"
"GMM","AG","HMC","5","25","8","48.177250815"
"GMM","AG","HMC","5","25","2","57.620837849"
"GMM","AG","HMC","5","25","5","62.786829296"
"GMM","AG","HMC","5","25","10","0.451264761"
"GMM","AG","HMC","5","25","6","30.708244439"
"GMM","AG","HMC","5","25","3","34.503822145"
"GMM","PG","HMC","5","25","1","64.132697589"
"GMM","PG","HMC","5","25","7","66.483910092"
"GMM","PG","HMC","5","25","4","66.649376171"
"GMM","PG","HMC","5","25","9","66.881800439"
"GMM","PG","HMC","5","25","2","65.205269815"
"GMM","PG","HMC","5","25","8","66.100058536"
"GMM","PG","HMC","5","25","10","66.496074715"
"GMM","PG","HMC","5","25","5","66.825462157"
"GMM","PG","HMC","5","25","3","34.649204936"
"GMM","PG","HMC","5","25","6","35.276508409"
"GMM","AG","HMC","10","25","9","69.224833424"
"GMM","AG","HMC","10","25","1","1.244485911"
"GMM","AG","HMC","10","25","4","1.267572316"
"GMM","AG","HMC","10","25","7","2.186917089"
"GMM","AG","HMC","10","25","10","48.198737548"
"GMM","AG","HMC","10","25","2","58.567640468"
"GMM","AG","HMC","10","25","8","0.821677585"
"GMM","AG","HMC","10","25","5","0.982436353"
"GMM","AG","HMC","10","25","3","29.875326732"
"GMM","AG","HMC","10","25","6","30.673877803"
"GMM","PG","HMC","10","25","1","99.755550446"
"GMM","PG","HMC","10","25","9","100.458562751"
"GMM","PG","HMC","10","25","7","101.193895216"
"GMM","PG","HMC","10","25","4","101.484700523"
"GMM","PG","HMC","10","25","8","100.249373786"
"GMM","PG","HMC","10","25","5","100.25401059"
"GMM","PG","HMC","10","25","10","101.566825433"
"GMM","PG","HMC","10","25","2","5.080219151"
"GMM","PG","HMC","10","25","6","47.258418855"
"GMM","PG","HMC","10","25","3","55.207801458"
"GMM","AG","HMC","15","25","4","62.647903629"
"GMM","AG","HMC","15","25","9","0.339837887"
"GMM","AG","HMC","15","25","1","1.738669407"
"GMM","AG","HMC","15","25","7","2.038123319"
"GMM","AG","HMC","15","25","5","47.02690764"
"GMM","AG","HMC","15","25","10","7.262743107"
"GMM","AG","HMC","15","25","2","13.230996695"
"GMM","AG","HMC","15","25","8","13.718691361"
"GMM","AG","HMC","15","25","6","19.124573617"
"GMM","AG","HMC","15","25","3","33.133062022"
"GMM","PG","HMC","15","25","1","139.002415744"
"GMM","PG","HMC","15","25","7","139.854703223"
"GMM","PG","HMC","15","25","9","139.984722877"
"GMM","PG","HMC","15","25","4","141.091223212"
"GMM","PG","HMC","15","25","10","137.92962951"
"GMM","PG","HMC","15","25","5","141.138913848"
"GMM","PG","HMC","15","25","8","141.442300928"
"GMM","PG","HMC","15","25","2","5.350654377"
"GMM","PG","HMC","15","25","6","68.736688533"
"GMM","PG","HMC","15","25","3","76.829347819"
"GMM","AG","HMC","5","50","7","208.533233196"
"GMM","AG","HMC","5","50","4","1.579796691"
"GMM","AG","HMC","5","50","9","3.150880426"
"GMM","AG","HMC","5","50","1","4.31567685"
"GMM","AG","HMC","5","50","8","163.658853041"
"GMM","AG","HMC","5","50","5","174.199390985"
"GMM","AG","HMC","5","50","10","179.715429903"
"GMM","AG","HMC","5","50","2","184.824150937"
"GMM","AG","HMC","5","50","6","98.643945615"
"GMM","AG","HMC","5","50","3","109.757953658"
"GMM","PG","HMC","5","50","9","114.48658006"
"GMM","PG","HMC","5","50","1","0.379720849"
"GMM","PG","HMC","5","50","7","2.123122867"
"GMM","PG","HMC","5","50","4","2.346654903"
"GMM","PG","HMC","5","50","10","86.18508199"
