model,discrete_algorithm,continuous_algorithm,particles,data_size,repetition,parameter,step,value
GMM,PG,MH,5,10,1,w[1],1,0.004506561754671655
GMM,PG,MH,5,10,1,w[2],1,0.9954934382453283
GMM,PG,MH,5,10,1,z[1],1,2.0
GMM,PG,MH,5,10,1,z[2],1,2.0
GMM,PG,MH,5,10,1,z[3],1,2.0
GMM,PG,MH,5,10,1,z[4],1,2.0
GMM,PG,MH,5,10,1,z[5],1,2.0
GMM,PG,MH,5,10,1,z[6],1,2.0
GMM,PG,MH,5,10,1,z[7],1,2.0
GMM,PG,MH,5,10,1,z[8],1,2.0
GMM,PG,MH,5,10,1,z[9],1,2.0
GMM,PG,MH,5,10,1,z[10],1,2.0
GMM,PG,MH,5,10,1,μ[1],1,-3.827672731983243
GMM,PG,MH,5,10,1,μ[2],1,2.134660591260033
GMM,PG,MH,5,10,1,w[1],2,0.004506561754671655
GMM,PG,MH,5,10,1,w[2],2,0.9954934382453283
GMM,PG,MH,5,10,1,z[1],2,2.0
GMM,PG,MH,5,10,1,z[2],2,2.0
GMM,PG,MH,5,10,1,z[3],2,2.0
GMM,PG,MH,5,10,1,z[4],2,2.0
GMM,PG,MH,5,10,1,z[5],2,2.0
GMM,PG,MH,5,10,1,z[6],2,2.0
GMM,PG,MH,5,10,1,z[7],2,2.0
GMM,PG,MH,5,10,1,z[8],2,2.0
GMM,PG,MH,5,10,1,z[9],2,2.0
GMM,PG,MH,5,10,1,z[10],2,2.0
GMM,PG,MH,5,10,1,μ[1],2,-3.827672731983243
GMM,PG,MH,5,10,1,μ[2],2,2.134660591260033
GMM,PG,MH,5,10,1,w[1],3,0.0825767733658889
GMM,PG,MH,5,10,1,w[2],3,0.9174232266341112
GMM,PG,MH,5,10,1,z[1],3,2.0
GMM,PG,MH,5,10,1,z[2],3,2.0
GMM,PG,MH,5,10,1,z[3],3,2.0
GMM,PG,MH,5,10,1,z[4],3,2.0
GMM,PG,MH,5,10,1,z[5],3,2.0
GMM,PG,MH,5,10,1,z[6],3,2.0
GMM,PG,MH,5,10,1,z[7],3,2.0
GMM,PG,MH,5,10,1,z[8],3,2.0
GMM,PG,MH,5,10,1,z[9],3,2.0
GMM,PG,MH,5,10,1,z[10],3,2.0
GMM,PG,MH,5,10,1,μ[1],3,-2.5771208565071895
GMM,PG,MH,5,10,1,μ[2],3,-1.6418547085144448
GMM,PG,MH,5,10,1,w[1],4,0.0825767733658889
GMM,PG,MH,5,10,1,w[2],4,0.9174232266341112
GMM,PG,MH,5,10,1,z[1],4,2.0
GMM,PG,MH,5,10,1,z[2],4,1.0
GMM,PG,MH,5,10,1,z[3],4,2.0
GMM,PG,MH,5,10,1,z[4],4,2.0
GMM,PG,MH,5,10,1,z[5],4,2.0
