"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","PG","MH","5","10","1","w[1]","ess","2.7012870576464096"
"GMM","PG","MH","5","10","1","w[1]","r_hat","1.694246311491763"
"GMM","PG","MH","5","10","1","w[2]","ess","2.7012870576464088"
"GMM","PG","MH","5","10","1","w[2]","r_hat","1.6942463114917632"
"GMM","PG","MH","5","10","1","z[1]","ess","6.712020026906438"
"GMM","PG","MH","5","10","1","z[1]","r_hat","1.1165567037933315"
"GMM","PG","MH","5","10","1","z[2]","ess","4.902310404538712"
"GMM","PG","MH","5","10","1","z[2]","r_hat","1.2374368670764584"
"GMM","PG","MH","5","10","1","z[3]","ess","5.398073010994597"
"GMM","PG","MH","5","10","1","z[3]","r_hat","1.1832159566199234"
"GMM","PG","MH","5","10","1","z[4]","ess","4.914652466866097"
"GMM","PG","MH","5","10","1","z[4]","r_hat","1.2374368670764584"
"GMM","PG","MH","5","10","1","z[5]","ess","13.142526393791918"
"GMM","PG","MH","5","10","1","z[5]","r_hat","0.9978376621475059"
"GMM","PG","MH","5","10","1","z[6]","ess","5.333749709899865"
"GMM","PG","MH","5","10","1","z[6]","r_hat","1.200490095997562"
"GMM","PG","MH","5","10","1","z[7]","ess","5.55454486560933"
"GMM","PG","MH","5","10","1","z[7]","r_hat","1.1832159566199232"
"GMM","PG","MH","5","10","1","z[8]","ess","4.536249355554344"
"GMM","PG","MH","5","10","1","z[8]","r_hat","1.2572371141874241"
"GMM","PG","MH","5","10","1","z[9]","ess","5.682901839004843"
"GMM","PG","MH","5","10","1","z[9]","r_hat","1.1666666666666667"
"GMM","PG","MH","5","10","1","z[10]","ess","5.509174559584793"
"GMM","PG","MH","5","10","1","z[10]","r_hat","1.200490095997562"
"GMM","PG","MH","5","10","1","μ[1]","ess","3.6859617468482724"
"GMM","PG","MH","5","10","1","μ[1]","r_hat","1.3998700759285478"
"GMM","PG","MH","5","10","1","μ[2]","ess","2.6867184986939114"
"GMM","PG","MH","5","10","1","μ[2]","r_hat","1.7349733988889746"
"GMM","PG","MH","5","10","2","w[1]","ess","3.4953637357177043"
"GMM","PG","MH","5","10","2","w[1]","r_hat","1.329321572608401"
"GMM","PG","MH","5","10","2","w[2]","ess","3.495363735717693"
"GMM","PG","MH","5","10","2","w[2]","r_hat","1.3293215726084022"
"GMM","PG","MH","5","10","2","z[1]","ess","8.238990462416014"
"GMM","PG","MH","5","10","2","z[1]","r_hat","1.043498389499902"
